,index,sqft
491,837,47
492,"2,372",47
493,"1,926",47
494,"1,233",47
495,"1,429",47
496,"1,804",47
497,"2,440",47
498,"1,515",47
499,630,47
500,"1,168",47
501,"1,516",47
502,"2,540",46
503,"1,204",46
504,"2,352",46
505,"1,586",46
506,"1,665",46
507,"1,356",46
508,1950,46
509,"1,154",46
510,"1,633",46
511,"1,564",46
512,"1,868",46
513,"1,346",46
514,"1,184",46
515,"1,788",46
516,"1,484",46
517,705,46
518,"1,105",46
519,"2,376",46
520,"1,777",46
521,"1,509",46
522,1188,46
523,1550,46
524,"1,828",46
525,"1,796",46
526,"1,388",46
527,"2,206",46
528,"2,190",46
529,888,46
530,"1,158",46
531,"1,942",45
532,"2,241",45
533,"1,906",45
534,670,45
535,868,45
536,"1,444",45
537,"2,286",45
538,1960,45
539,"1,935",45
540,968,45
541,"2,392",45
542,"2,144",45
543,"2,429",45
544,"1,286",45
545,"2,010",45
546,"1,547",45
547,830,45
548,"1,522",45
549,"1,072",45
550,"1,425",45
551,"1,315",45
552,"1,284",45
553,"1,932",45
554,"1,206",45
555,918,44
556,"2,101",44
557,"1,034",44
558,"2,430",44
559,"2,128",44
560,"2,544",44
561,"1,322",44
562,"1,754",44
563,848,44
564,"1,762",44
565,"1,085",44
566,"1,275",44
567,"1,195",44
568,"1,786",44
569,"1,616",44
570,"1,108",44
571,"1,505",44
572,"1,265",44
573,"1,753",44
574,"1,245",44
575,"1,806",44
576,1520,44
577,"2,175",44
578,"2,112",44
579,"1,574",44
580,1900,44
581,982,44
582,"1,771",44
583,"2,048",44
584,"1,114",44
585,"1,398",44
586,"1,412",44
587,"1,601",44
588,"1,235",44
589,"2,001",44
590,"1,778",43
591,"2,268",43
592,"1,867",43
593,"1,556",43
594,1104,43
595,"1,042",43
596,"2,420",43
597,"1,415",43
598,"2,360",43
599,1240,43
600,"1,362",43
601,"1,582",43
602,1824,43
603,"1,523",43
604,704,43
605,"1,649",43
606,"2,730",43
607,"1,554",43
608,"1,938",43
609,"1,314",43
610,"1,651",43
611,"2,480",43
612,"2,068",43
613,"2,295",43
614,"1,573",43
615,1232,43
616,"1,234",43
617,1450,43
618,"1,026",43
619,"1,443",43
620,"2,142",43
621,"2,560",43
622,"1,062",43
623,"2,220",43
624,730,43
625,"2,680",43
626,"1,901",43
627,"2,140",43
628,"1,598",43
629,"1,446",43
630,"1,671",42
631,"1,794",42
632,"1,175",42
633,"1,539",42
634,"1,588",42
635,"1,984",42
636,"1,892",42
637,"1,603",42
638,"1,992",42
639,1540,42
640,"2,203",42
641,"1,996",42
642,"2,033",42
643,"1,375",42
644,"2,530",42
645,1640,42
646,"1,015",42
647,"1,251",42
648,"1,816",42
649,"1,324",42
650,"5,000",42
651,"2,327",42
652,954,42
653,"1,676",42
654,"1,046",42
655,"1,822",42
656,"1,933",42
657,"1,338",42
658,"1,857",42
659,"1,215",42
660,"2,640",42
661,1064,42
662,"1,242",42
663,"2,042",42
664,"1,944",42
665,"1,090",42
666,"1,535",42
667,"1,464",42
668,1470,42
669,"1,555",42
670,2080,42
671,"1,146",42
672,"1,432",42
673,"1,888",42
674,"1,491",42
675,"2,590",42
676,812,42
677,"1,986",42
678,"1,226",42
679,"1,774",42
680,"1,107",42
681,1352,41
682,"2,064",41
683,2800,41
684,"1,301",41
685,"2,008",41
686,"1,394",41
687,"1,417",41
688,1704,41
689,"1,854",41
690,"1,422",41
691,"1,652",41
692,"2,090",41
693,"1,197",41
694,"1,018",41
695,690,41
696,"2,290",41
697,"2,032",41
698,"1,095",41
699,"1,845",41
700,798,41
701,"1,756",41
702,"1,697",41
703,"1,970",41
704,"1,122",41
705,"1,591",41
706,"2,325",41
707,"2,136",41
708,"1,054",41
709,"1,635",41
710,"1,812",41
711,"2,364",41
712,"1,562",41
713,"2,162",41
714,"1,706",41
715,"1,701",41
716,"1,065",41
717,"1,469",41
718,"1,384",41
719,"1,699",40
720,"2,380",40
721,"1,755",40
722,"1,349",40
723,"1,129",40
724,2020,40
725,"2,211",40
726,"2,575",40
727,"1,044",40
728,624,40
729,"1,634",40
730,"1,836",40
731,"2,740",40
732,"2,176",40
733,754,40
734,3000,40
735,1316,40
736,"2,248",40
737,"1,844",40
738,"2,410",40
739,"1,185",40
740,"2,110",40
741,"1,914",40
742,"1,832",40
743,"1,674",40
744,400,40
745,948,40
746,"1,821",40
747,"1,198",40
748,"2,122",40
749,852,40
750,"1,084",40
751,"1,434",40
752,"1,482",40
753,"1,124",40
754,964,40
755,580,40
756,"2,368",40
757,"1,579",39
758,"2,103",39
759,"1,663",39
760,688,39
761,3200,39
762,"1,468",39
763,"1,285",39
764,"1,735",39
765,"1,644",39
766,"1,335",39
767,"2,228",39
768,"2,334",39
769,"2,213",39
770,"1,077",39
771,874,39
772,906,39
773,1782,39
774,"2,065",39
775,748,39
776,"2,726",39
777,"2,252",39
778,"1,745",39
779,"2,046",39
780,"1,258",39
781,"2,034",39
782,1170,39
783,806,39
784,"1,094",39
785,"2,212",39
786,"1,829",39
787,"1,734",39
788,"1,569",39
789,"1,113",39
790,1820,39
791,"2,490",39
792,"1,228",39
793,"2,024",39
794,"1,358",39
795,"1,638",39
796,"1,834",39
797,"1,744",39
798,"2,104",39
799,"1,646",39
800,"1,594",39
801,"2,358",39
802,805,39
803,"2,454",39
804,"1,526",39
805,1360,39
806,"2,018",39
807,1216,39
808,1596,39
809,"1,837",39
810,"1,666",38
811,842,38
812,"1,976",38
813,"1,541",38
814,"1,692",38
815,"1,058",38
816,"1,966",38
817,"1,864",38
818,"1,886",38
819,"2,332",38
820,"2,583",38
821,"2,086",38
822,858,38
823,"2,245",38
824,"2,309",38
