,index,sqft
789,"1,195 sqft",54
790,"1,074 sqft",54
791,"2,366 sqft",54
792,"2,212 sqft",54
793,"1,395 sqft",54
794,"2,840 sqft",54
795,948 sqft,54
796,"1,794 sqft",54
797,"1,935 sqft",54
798,"1,729 sqft",54
799,820 sqft,54
800,"1,924 sqft",54
801,"2,312 sqft",54
802,"1,843 sqft",54
803,"1,489 sqft",54
804,"2,033 sqft",54
805,"1,441 sqft",54
806,"2,760 sqft",54
807,"1,938 sqft",54
808,"1,537 sqft",54
809,"2,242 sqft",54
810,"2,408 sqft",54
811,"2,750 sqft",54
812,"total interior livable area: 1,300 sqft",54
813,"1,217 sqft",54
814,"1,866 sqft",54
815,"1,545 sqft",54
816,"1,179 sqft",54
817,"1,671 sqft",54
818,"1,521 sqft",54
819,"2,660 sqft",54
820,"1,889 sqft",54
821,"1,753 sqft",54
822,"1,491 sqft",54
823,"2,548 sqft",54
824,"1,966 sqft",53
825,"1,591 sqft",53
826,"1,053 sqft",53
827,"1,858 sqft",53
828,"1,417 sqft",53
829,"1,679 sqft",53
830,"2,171 sqft",53
831,"1,245 sqft",53
832,"1,996 sqft",53
833,"2,680 sqft",53
834,"6,000 sqft",53
835,"2,392 sqft",53
836,"1,166 sqft",53
837,"1,327 sqft",53
838,"1,335 sqft",53
839,"1,269 sqft",53
840,828 sqft,53
841,"1,814 sqft",53
842,"2,169 sqft",53
843,"1,986 sqft",53
844,"1,874 sqft",53
845,"1,253 sqft",53
846,"1,454 sqft",53
847,"1,614 sqft",53
848,"1,555 sqft",53
849,"1,018 sqft",53
850,"1,112 sqft",53
851,"2,356 sqft",53
852,"1,182 sqft",53
853,"2,201 sqft",53
854,"1,623 sqft",53
855,"1,239 sqft",52
856,"2,054 sqft",52
857,"1,998 sqft",52
858,"1,522 sqft",52
859,892 sqft,52
860,"1,578 sqft",52
861,"1,042 sqft",52
862,"2,332 sqft",52
863,"1,635 sqft",52
864,"1,282 sqft",52
865,total interior livable area: 864 sqft,52
866,"1,849 sqft",52
867,"1,165 sqft",52
868,"1,765 sqft",52
869,"1,382 sqft",52
870,"1,902 sqft",52
871,"1,723 sqft",52
872,944 sqft,52
873,"2,830 sqft",52
874,"3,150 sqft",52
875,"1,529 sqft",52
876,"1,223 sqft",52
877,"1,353 sqft",52
878,964 sqft,52
879,"1,429 sqft",52
880,"1,237 sqft",52
881,"2,204 sqft",52
882,"1,073 sqft",52
883,"1,587 sqft",52
884,"1,795 sqft",52
885,"1,796 sqft",52
886,"2,338 sqft",52
887,"1,421 sqft",52
888,"2,432 sqft",51
889,830 sqft,51
890,"1,534 sqft",51
891,"1,004 sqft",51
892,"1,463 sqft",51
893,"2,035 sqft",51
894,"1,287 sqft",51
895,"1,633 sqft",51
896,"1,958 sqft",51
897,"1,597 sqft",51
898,"1,931 sqft",51
899,858 sqft,51
900,"2,576 sqft",51
901,"2,172 sqft",51
902,"2,452 sqft",51
903,"2,125 sqft",51
904,"1,946 sqft",51
905,"1,433 sqft",51
906,"1,942 sqft",51
907,400 sqft,51
908,"total interior livable area: 1,152 sqft",51
909,"1,403 sqft",51
910,"2,214 sqft",51
911,"1,486 sqft",51
912,904 sqft,51
913,"2,068 sqft",51
914,"1,124 sqft",51
915,"2,484 sqft",51
916,"4,800 sqft",51
917,"2,244 sqft",51
918,"2,384 sqft",51
919,"4,400 sqft",51
920,836 sqft,51
921,"2,297 sqft",51
922,"1,741 sqft",51
923,"1,002 sqft",51
924,"1,181 sqft",51
925,"2,532 sqft",51
926,"1,797 sqft",51
927,"1,855 sqft",51
928,"2,364 sqft",51
929,"1,839 sqft",51
930,"1,541 sqft",51
931,"1,923 sqft",50
932,"1,558 sqft",50
933,"1,637 sqft",50
934,"total interior livable area: 1,008 sqft",50
935,"1,286 sqft",50
936,"2,476 sqft",50
937,"1,593 sqft",50
938,"1,667 sqft",50
939,"1,317 sqft",50
940,"1,833 sqft",50
941,"1,683 sqft",50
942,"2,324 sqft",50
943,"2,516 sqft",50
944,"2,108 sqft",50
945,704 sqft,50
946,"1,983 sqft",50
947,"1,098 sqft",50
948,"2,603 sqft",50
