,index,num_series
1711,77502,54
1712,02127,53
1713,97267,53
1714,63108,53
1715,97221,53
1716,85305,53
1717,90038,53
1718,75572,53
1719,97213,53
1720,95136,53
1721,11423,53
1722,30363,52
1723,92107,52
1724,95831,52
1725,77012,52
1726,28120,52
1727,75042,52
1728,98310,52
1729,98026,52
1730,93702,52
1731,80207,52
1732,28217,52
1733,90043,52
1734,90005,52
1735,78750,52
1736,91202,52
1737,60656,52
1738,45223,51
1739,32609,51
1740,92701,51
1741,80223,51
1742,33128,51
1743,22209,51
1744,80239,51
1745,95828,51
1746,80127,51
1747,27518,51
1748,91403,51
1749,75009,51
1750,75081,51
1751,75061,50
1752,84770,50
1753,32606,50
1754,45243,50
1755,99212,50
1756,98408,50
1757,76117,50
1758,75249,50
1759,84115,50
1760,90041,50
1761,89031,50
1762,14750,50
1763,92808,50
1764,75034,50
1765,80501,50
1766,90047,50
1767,76226,50
1768,37067,49
1769,94112,49
1770,74020,49
1771,92802,49
1772,34231,49
1773,91306,49
1774,80007,49
1775,99203,49
1776,18102,49
1777,92106,49
1778,04963,49
1779,99202,49
1780,44132,49
1781,78752,48
1782,11427,48
1783,14211,48
1784,78205,48
1785,33815,48
1786,44140,48
1787,49037,48
1788,14213,48
1789,2118,48
1790,84109,48
1791,75701,48
1792,78023,48
1793,85306,48
1794,95135,48
1795,10303,47
1796,48240,47
1797,89512,47
1798,91208,47
1799,98023,47
1800,10033,47
1801,75253,47
1802,89436,47
1803,91504,47
1804,32653,47
1805,45206,47
1806,44136,46
1807,63104,46
1808,76209,46
1809,30345,46
1810,60124,46
1811,78109,46
1812,84107,46
1813,80237,46
1814,45244,46
1815,77085,46
1816,78263,46
1817,89084,46
1818,97220,46
1819,84104,46
1820,48875,46
1821,94103,46
1822,45211,46
1823,91106,46
1824,75039,46
1825,46221,46
1826,78722,46
1827,90007,45
1828,91401,45
1829,89439,45
1830,92604,45
1831,98501,45
1832,94133,45
1833,95051,45
1834,98311,45
1835,91607,45
1836,32814,45
1837,80524,45
1838,91606,45
1839,33759,45
1840,94131,45
1841,20910,45
1842,77031,45
1843,5452,45
1844,93723,44
1845,13206,44
1846,92056,44
1847,80231,44
1848,79703,44
1849,91331,44
1850,32344,44
1851,48230,44
1852,37912,44
1853,12202,44
1854,31907,44
1855,33194,44
1856,27101,44
1857,75060,44
1858,95816,44
1859,95112,44
1860,94585,44
1861,4963,44
1862,90731,44
1863,97212,44
1864,98055,44
1865,92108,44
1866,78550,44
1867,85388,44
1868,85085,43
1869,94115,43
1870,46235,43
1871,77565,43
1872,45237,43
1873,14063,43
1874,84116,43
1875,32317,43
1876,94619,43
1877,92122,43
1878,91205,43
1879,11411,43
1880,27263,43
1881,14224,43
1882,95815,43
1883,60123,43
1884,75051,43
1885,02116,43
1886,10032,43
1887,89179,43
1888,79907,43
1889,79904,43
1890,46250,43
1891,95111,43
1892,90012,43
1893,12210,42
1894,41701,42
1895,2116,42
1896,95824,42
1897,19127,42
1898,11105,42
1899,92883,42
1900,92116,42
1901,13207,42
1902,90059,42
1903,14207,42
1904,30313,42
1905,98003,42
1906,98057,41
1907,20817,41
1908,78634,41
1909,76707,41
1910,12601,41
1911,20746,41
1912,11370,41
1913,97702,41
1914,94503,41
1915,13210,41
1916,11102,41
1917,97225,41
1918,98503,41
1919,45239,41
1920,94121,41
1921,10464,41
1922,94590,41
1923,75050,41
1924,20816,41
1925,98011,41
1926,45214,41
1927,84101,41
1928,98663,41
1929,27401,41
1930,31419,41
1931,89143,41
1932,92113,41
1933,11426,40
1934,85395,40
1935,79922,40
1936,38732,40
1937,92392,40
1938,79602,40
1939,33760,40
1940,31757,40
1941,45209,40
1942,97231,40
1943,49014,40
1944,90033,40
1945,81504,40
1946,77067,40
1947,46228,40
1948,80235,40
1949,91801,40
1950,33765,40
1951,20744,40
1952,2210,40
1953,19152,40
1954,92111,40
1955,79606,40
1956,92102,40
1957,94589,40
1958,92131,40
1959,30340,40
1960,2110,40
1961,12209,40
1962,10310,39
1963,77365,39
1964,92592,39
1965,79106,39
1966,76543,39
1967,10460,39
1968,37921,39
1969,38141,39
1970,93535,39
1971,92806,39
1972,79925,39
1973,45249,39
1974,98028,39
1975,19115,39
1976,94124,39
1977,45233,39
1978,91214,39
1979,84120,39
1980,5446,39
1981,37397,39
1982,78225,39
1983,94510,39
1984,45224,39
1985,37923,39
1986,91436,39
